Designator,Footprint,Quantity,Value,LCSC Part #
A1,Clone_Pro_Mini_Socket_No_PROG,1,Clone_Pro_Mini_Socket,
"BATT1, GND1, RAIL-V1, SCL1, SDA1, SERVO-SIG1",TestPoint_Pad_D2.0mm,6,TestPoint,
BT1,BAT_BK-18650-PC4,1,BK-18650-PC4,
"C1, C2, C3, C4, C5, C6, C7, C8",0805,8,C,
"D1, D2, D3",LED_D3.0mm,3,LED,
F1,Fuse_LittleFuseRUEF300,1,Polyfuse 3A,
"J1, J2, J3",PinHeader_1x03_P2.54mm_Horizontal,3,Conn_01x03_Pin,
J4,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,1,XT60PW-M,
OLED1,OLED_0.96_SPI_Module_1x07_P2.54mm,1,~,
"R1, R10, R11, R12, R13, R14, R15, R2, R3, R4, R5, R6, R7, R8, R9",0805,15,R,
"R16, R17, R18",1210,3,R,
RV1,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,10K,
SW1,SS12D11,1,SS-12DXX,
SW2,SS12D10,1,SS-12DXX,
"SW3, SW4, SW5",SW_PUSH_6mm_H8.5mm,3,SW_Push - Down,
U1,Ultra Mini-360,1,Mini360,
U2,INA3221_VQFN-16_4x4mm_P0.65mm_EP2.6x2.6mm,1,INA3221,
