Designator,Mid X,Mid Y,Rotation,Layer
A1,113.57,-90.01,180.0,bottom
BATT1,171.25,-110.25,0.0,top
BT1,167.17,-84.9,180.0,bottom
C1,164.5,-83.5,0.0,top
C2,164.5,-88.5,0.0,top
C3,164.5,-93.5,0.0,top
C4,164.5,-78.5,0.0,top
C5,190.75,-93.5,270.0,top
C6,178.25,-101.75,180.0,top
C7,192.25,-101.75,180.0,top
C8,206.25,-101.75,180.0,top
D1,108.5,-60.43,90.0,top
D2,118.5,-60.43,270.0,top
D3,164.5,-111.25,180.0,top
F1,96.608,-85.792,180.0,top
GND1,166.5,-98.5,0.0,top
J1,178.21,-119.75,270.0,top
J2,192.25,-119.75,270.0,top
J3,206.29,-119.75,270.0,top
J4,211.795,-84.348,90.0,bottom
JP2,105.75,-118.0,180.0,top
MH1,94.75,-125.75,0.0,top
MH2,164.75,-125.75,0.0,top
MH3,219.75,-125.75,0.0,top
MH4,219.75,-60.75,0.0,top
MH5,94.75,-60.75,0.0,top
MH6,164.75,-60.75,0.0,top
OLED1,137.5,-71.34,0.0,top
R1,158.5,-88.5,0.0,top
R10,181.5,-105.25,270.0,top
R11,175.0,-105.25,270.0,top
R12,195.75,-105.25,270.0,top
R13,188.75,-105.25,270.0,top
R14,209.5,-105.25,270.0,top
R15,203.0,-105.25,270.0,top
R16,178.25,-110.5,0.0,top
R17,192.0,-110.5,0.0,top
R18,206.25,-110.5,0.0,top
R2,158.5,-83.5,180.0,top
R3,158.5,-78.5,180.0,top
R4,102.5375,-58.5,180.0,top
R5,102.5375,-63.15,180.0,top
R6,164.5,-105.0,180.0,top
R7,182.7,-87.1,90.0,top
R8,188.7,-87.1,90.0,top
R9,158.5,-93.5,180.0,top
RAIL-V1,147.5,-90.9,0.0,top
RV1,137.5,-114.9,270.0,top
SCL1,188.7,-82.5,0.0,top
SDA1,182.7,-82.5,0.0,top
SERVO-SIG1,157.75,-98.0,0.0,top
SW1,100.393,-75.75,90.0,top
SW2,113.5,-67.5,0.0,top
SW3,152.5,-111.25,180.0,top
SW4,119.25,-117.75,180.0,top
SW5,152.5,-124.75,0.0,top
U1,96.825549,-108.64292,270.0,top
U2,185.25,-94.75,180.0,top
VPU1,199.5,-94.0,0.0,top
